https://www.4icu.org/in/indian-universities.htm
List of Indian Universities
Rank	University	Location
822	Indira Gandhi Technological and Medical Sciences University	Ziro
686	Indira Gandhi University, Meerpur	Rewari
701	Indira Kala Sangeet Vishwavidyalaya	Khairagarh
148	Indraprastha Institute of Information Technology	New Delhi
Un	Indrashil University	Dholera
781	Indus International University	Bathu
540	Indus University	Ahmedabad
816	Institute of Advanced Research	Gandhinagar
490	Institute of Advanced Studies in Education	Sardarshahr
232	Institute of Chemical Technology	Mumbai
528	Institute of Infrastructure, Technology, Research and Management	Ahmedabad
318	Integral University	Lucknow
204	International Institute for Population Sciences	Mumbai
127	International Institute of Information Technology Bangalore	Bangalore
434	International Institute of Information Technology, Bhubaneswar	Bhubaneswar
22	International Institute of Information Technology, Hyderabad	Hyderabad
678	International Institute of Information Technology, Naya Raipur	Naya Raipur
363	Invertis University	Bareilly
818	ISBM University	Gariyaband
529	Islamic University of Science and Technology	Pulwama
390	ITM University Gwalior	Gwalior
747	ITM University Raipur	Raipur
789	ITM Vocational University	Waghodia
71	Jadavpur University	Kolkata
548	Jagadguru Ramanandacharya Rajasthan Sanskrit University	Jaipur
723	Jagadguru Rambhadracharya Handicapped University	Chitrakoot
465	Jagadguru Sri Shivarathreeswara University	Mysore ...
687	Jagan Nath University	Jhajjar
551	Jagannath University	Jaipur
592	Jagran Lakecity University	Bhopal
341	Jai Narain Vyas University	Jodhpur
437	Jai Prakash Vishwavidyalaya	Chapra
251	Jain University	Bangalore
471	Jain Vishva Bharati Institute	Ladnun
210	Jaipur National University	Jaipur
156	Jamia Hamdard	New Delhi
63	Jamia Millia Islamia	New Delhi
727	Jananayak Chandrashekhar University	Ballia
405	Janardan Rai Nagar Rajasthan Vidhyapeeth University	Udaipur
150	Jawaharlal Institute of Postgraduate Medical Education and Research	Puducherry
477	Jawaharlal Nehru Architecture and Fine Arts University	Hyderabad
88	Jawaharlal Nehru Centre for Advanced Scientific Research	Bangalore
357	Jawaharlal Nehru Krishi Vishwavidyalaya	Jabalpur
64	Jawaharlal Nehru Technological University	Hyderabad ...
195	Jawaharlal Nehru Technological University, Anantapur	Anantapur
120	Jawaharlal Nehru Technological University, Kakinada	Kakinada
13	Jawaharlal Nehru University	New Delhi
473	Jayoti Vidyapeeth Women's University	Jaipur
231	Jaypee Institute of Information Technology	Noida
784	Jaypee University Anoopshahr	Anupshahr
469	Jaypee University of Engineering and Technology	Raghogarh
371	Jaypee University of Information Technology	Waknaghat
476	JECRC University	Jaipur
685	Jharkhand Rai University	Ranchi
862	Jharkhand Raksha Shakti University	Ranchi
743	JIS University	Agarpara
128	Jiwaji University	Gwalior
467	JK Lakshmipat University	Jaipur
561	Jodhpur National University	Jodhpur
738	JS University	Shikohabad
827	JSS Science and Technology University	Mysore
353	Junagadh Agricultural University	Junagadh
37	K L University	Vaddeswaram
860	K.K. University	Biharsharif
623	K.R. Mangalam University	Gurgaon
644	Kadi Sarva Vishwavidyalaya	Gandhinagar
227	Kakatiya University	Warangal ...
304	Kalasalingam University	Krishnankoil
650	Kalinga University	Raipur
753	Kamdhenu University	Gandhinagar
651	Kameshwar Singh Darbhanga Sanskrit University	Darbhanga
591	Kannada University	Vidyaranya
218	Kannur University	Kannur
263	Karnatak University	Dharwad
811	Karnataka Janapada Vishwavidyalaya	Shiggaon
614	Karnataka Sanskrit University	Bangalore
466	Karnataka State Law University	Hubli
864	Karnataka State Rural Development and Panchayat Raj University	Gadag
590	Karnataka State Women's University	Bijapur ...
795	Karnataka Veterinary, Animal and Fisheries Sciences University	Bidar
754	Karnavati University	Gandhinagar
755	Karpagam Academy of Higher Education	Coimbatore
42	Karunya University	Coimbatore
525	Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya	Nagpur
599	Kazi Nazrul University	Asansol
643	Kaziranga University	Jorhat
117	Kerala Agricultural University	Thrissur ...
577	Kerala Kalamandalam	Cheruthuruthi
514	Kerala University of Fisheries and Ocean Studies	Kochi
409	Kerala University of Health Sciences	Thrissur
428	Kerala Veterinary and Animal Sciences University	Pookode
817	Khallikote University	Berhampur
868	Khalsa University	Amritsar
679	Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University	Lucknow
66	KIIT University	Bhubaneswar
222	King George's Medical University	Lucknow
652	KLE Technological University	Hubli
418	KLE University	Belgaum ...
484	Kolhan University	Chaibasa
499	Krantiguru Shyamji Krishna Verma Kachchh University	Bhuj
631	Krishna Institute of Medical Sciences	Karad
324	Krishna University	Machilipatnam
